algorithm,dimension,function,skew,rotation,noise,path
ADAGRAD,10,superquadratic,0.0,0.5,0.0,ADAGRAD-10/ADAGRAD_(10-dimensions)_superquadratic_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
ADAGRAD,10,superquadratic,0.0,1.0,0.0,ADAGRAD-10/ADAGRAD_(10-dimensions)_superquadratic_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
ADAGRAD,10,superquadratic,0.5,0.0,0.0,ADAGRAD-10/ADAGRAD_(10-dimensions)_superquadratic_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,10,superquadratic,0.99,0.0,0.0,ADAGRAD-10/ADAGRAD_(10-dimensions)_superquadratic_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,100,multimin,0.0,0.0,0.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,100,multimin,0.0,0.0,0.5,ADAGRAD-100/ADAGRAD_(100-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
ADAGRAD,100,multimin,0.0,0.0,1.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
ADAGRAD,100,multimin,0.0,0.5,0.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
ADAGRAD,100,multimin,0.0,1.0,0.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
ADAGRAD,100,multimin,0.5,0.0,0.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_multimin_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,100,multimin,0.99,0.0,0.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_multimin_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,100,saddle,0.0,0.0,0.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,100,saddle,0.0,0.0,0.5,ADAGRAD-100/ADAGRAD_(100-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
ADAGRAD,100,saddle,0.0,0.0,1.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
ADAGRAD,100,saddle,0.0,0.5,0.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
ADAGRAD,100,saddle,0.0,1.0,0.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
ADAGRAD,100,saddle,0.5,0.0,0.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_saddle_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,100,saddle,0.99,0.0,0.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_saddle_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,100,subquadratic,0.0,0.0,0.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_subquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,100,subquadratic,0.0,0.0,0.5,ADAGRAD-100/ADAGRAD_(100-dimensions)_subquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
ADAGRAD,100,subquadratic,0.0,0.0,1.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_subquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
ADAGRAD,100,subquadratic,0.0,0.5,0.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_subquadratic_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
ADAGRAD,100,subquadratic,0.0,1.0,0.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_subquadratic_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
ADAGRAD,100,subquadratic,0.5,0.0,0.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_subquadratic_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,100,subquadratic,0.99,0.0,0.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_subquadratic_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,100,superquadratic,0.0,0.0,0.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_superquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,100,superquadratic,0.0,0.0,0.5,ADAGRAD-100/ADAGRAD_(100-dimensions)_superquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
ADAGRAD,100,superquadratic,0.0,0.0,1.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_superquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
ADAGRAD,100,superquadratic,0.0,0.5,0.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_superquadratic_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
ADAGRAD,100,superquadratic,0.0,1.0,0.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_superquadratic_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
ADAGRAD,100,superquadratic,0.5,0.0,0.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_superquadratic_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,100,superquadratic,0.99,0.0,0.0,ADAGRAD-100/ADAGRAD_(100-dimensions)_superquadratic_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,1000,multimin,0.0,0.0,0.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,1000,multimin,0.0,0.0,0.5,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
ADAGRAD,1000,multimin,0.0,0.0,1.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
ADAGRAD,1000,multimin,0.0,0.5,0.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
ADAGRAD,1000,multimin,0.0,1.0,0.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
ADAGRAD,1000,multimin,0.5,0.0,0.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_multimin_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,1000,multimin,0.99,0.0,0.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_multimin_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,1000,saddle,0.0,0.0,0.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,1000,saddle,0.0,0.0,0.5,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
ADAGRAD,1000,saddle,0.0,0.0,1.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
ADAGRAD,1000,saddle,0.0,0.5,0.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
ADAGRAD,1000,saddle,0.0,1.0,0.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
ADAGRAD,1000,saddle,0.5,0.0,0.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_saddle_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,1000,saddle,0.99,0.0,0.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_saddle_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,1000,subquadratic,0.0,0.0,0.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_subquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,1000,subquadratic,0.0,0.0,0.5,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_subquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
ADAGRAD,1000,subquadratic,0.0,0.0,1.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_subquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
ADAGRAD,1000,subquadratic,0.0,0.5,0.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_subquadratic_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
ADAGRAD,1000,subquadratic,0.0,1.0,0.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_subquadratic_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
ADAGRAD,1000,subquadratic,0.5,0.0,0.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_subquadratic_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,1000,subquadratic,0.99,0.0,0.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_subquadratic_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,1000,superquadratic,0.0,0.0,0.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_superquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,1000,superquadratic,0.0,0.0,0.5,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_superquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
ADAGRAD,1000,superquadratic,0.0,0.0,1.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_superquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
ADAGRAD,1000,superquadratic,0.0,0.5,0.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_superquadratic_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
ADAGRAD,1000,superquadratic,0.0,1.0,0.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_superquadratic_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
ADAGRAD,1000,superquadratic,0.5,0.0,0.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_superquadratic_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
ADAGRAD,1000,superquadratic,0.99,0.0,0.0,ADAGRAD-1000/ADAGRAD_(1000-dimensions)_superquadratic_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,10,multimin,0.0,0.0,0.0,ADAM-10/ADAM_(10-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,10,multimin,0.0,0.0,0.5,ADAM-10/ADAM_(10-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
ADAM,10,multimin,0.0,0.0,1.0,ADAM-10/ADAM_(10-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
ADAM,10,multimin,0.0,0.5,0.0,ADAM-10/ADAM_(10-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
ADAM,10,multimin,0.0,1.0,0.0,ADAM-10/ADAM_(10-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
ADAM,10,multimin,0.5,0.0,0.0,ADAM-10/ADAM_(10-dimensions)_multimin_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,10,multimin,0.99,0.0,0.0,ADAM-10/ADAM_(10-dimensions)_multimin_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,10,saddle,0.0,0.0,0.0,ADAM-10/ADAM_(10-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,10,saddle,0.0,0.0,0.5,ADAM-10/ADAM_(10-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
ADAM,10,saddle,0.0,0.0,1.0,ADAM-10/ADAM_(10-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
ADAM,10,saddle,0.0,0.5,0.0,ADAM-10/ADAM_(10-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
ADAM,10,saddle,0.0,1.0,0.0,ADAM-10/ADAM_(10-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
ADAM,10,saddle,0.5,0.0,0.0,ADAM-10/ADAM_(10-dimensions)_saddle_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,10,saddle,0.99,0.0,0.0,ADAM-10/ADAM_(10-dimensions)_saddle_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,10,subquadratic,0.0,0.0,0.0,ADAM-10/ADAM_(10-dimensions)_subquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,10,subquadratic,0.0,0.0,0.5,ADAM-10/ADAM_(10-dimensions)_subquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
ADAM,10,subquadratic,0.0,0.0,1.0,ADAM-10/ADAM_(10-dimensions)_subquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
ADAM,10,subquadratic,0.0,0.5,0.0,ADAM-10/ADAM_(10-dimensions)_subquadratic_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
ADAM,10,subquadratic,0.0,1.0,0.0,ADAM-10/ADAM_(10-dimensions)_subquadratic_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
ADAM,10,subquadratic,0.5,0.0,0.0,ADAM-10/ADAM_(10-dimensions)_subquadratic_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,10,subquadratic,0.99,0.0,0.0,ADAM-10/ADAM_(10-dimensions)_subquadratic_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,10,superquadratic,0.0,0.0,0.0,ADAM-10/ADAM_(10-dimensions)_superquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,10,superquadratic,0.0,0.0,0.5,ADAM-10/ADAM_(10-dimensions)_superquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
ADAM,10,superquadratic,0.0,0.0,1.0,ADAM-10/ADAM_(10-dimensions)_superquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
ADAM,10,superquadratic,0.0,0.5,0.0,ADAM-10/ADAM_(10-dimensions)_superquadratic_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
ADAM,10,superquadratic,0.0,1.0,0.0,ADAM-10/ADAM_(10-dimensions)_superquadratic_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
ADAM,10,superquadratic,0.5,0.0,0.0,ADAM-10/ADAM_(10-dimensions)_superquadratic_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,10,superquadratic,0.99,0.0,0.0,ADAM-10/ADAM_(10-dimensions)_superquadratic_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,100,multimin,0.0,0.0,0.0,ADAM-100/ADAM_(100-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,100,multimin,0.0,0.0,0.5,ADAM-100/ADAM_(100-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
ADAM,100,multimin,0.0,0.0,1.0,ADAM-100/ADAM_(100-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
ADAM,100,multimin,0.0,0.5,0.0,ADAM-100/ADAM_(100-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
ADAM,100,multimin,0.0,1.0,0.0,ADAM-100/ADAM_(100-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
ADAM,100,multimin,0.5,0.0,0.0,ADAM-100/ADAM_(100-dimensions)_multimin_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,100,multimin,0.99,0.0,0.0,ADAM-100/ADAM_(100-dimensions)_multimin_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,100,saddle,0.0,0.0,0.0,ADAM-100/ADAM_(100-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,100,saddle,0.0,0.0,0.5,ADAM-100/ADAM_(100-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
ADAM,100,saddle,0.0,0.0,1.0,ADAM-100/ADAM_(100-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
ADAM,100,saddle,0.0,0.5,0.0,ADAM-100/ADAM_(100-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
ADAM,100,saddle,0.0,1.0,0.0,ADAM-100/ADAM_(100-dimensions)_saddle_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
ADAM,100,saddle,0.5,0.0,0.0,ADAM-100/ADAM_(100-dimensions)_saddle_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,100,saddle,0.99,0.0,0.0,ADAM-100/ADAM_(100-dimensions)_saddle_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,100,subquadratic,0.0,0.0,0.0,ADAM-100/ADAM_(100-dimensions)_subquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,100,subquadratic,0.0,0.0,0.5,ADAM-100/ADAM_(100-dimensions)_subquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
ADAM,100,subquadratic,0.0,0.0,1.0,ADAM-100/ADAM_(100-dimensions)_subquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
ADAM,100,subquadratic,0.0,0.5,0.0,ADAM-100/ADAM_(100-dimensions)_subquadratic_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
ADAM,100,subquadratic,0.0,1.0,0.0,ADAM-100/ADAM_(100-dimensions)_subquadratic_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
ADAM,100,subquadratic,0.5,0.0,0.0,ADAM-100/ADAM_(100-dimensions)_subquadratic_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,100,subquadratic,0.99,0.0,0.0,ADAM-100/ADAM_(100-dimensions)_subquadratic_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,100,superquadratic,0.0,0.0,0.0,ADAM-100/ADAM_(100-dimensions)_superquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,100,superquadratic,0.0,0.0,0.5,ADAM-100/ADAM_(100-dimensions)_superquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
ADAM,100,superquadratic,0.0,0.0,1.0,ADAM-100/ADAM_(100-dimensions)_superquadratic_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
ADAM,100,superquadratic,0.0,0.5,0.0,ADAM-100/ADAM_(100-dimensions)_superquadratic_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
ADAM,100,superquadratic,0.0,1.0,0.0,ADAM-100/ADAM_(100-dimensions)_superquadratic_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
ADAM,100,superquadratic,0.5,0.0,0.0,ADAM-100/ADAM_(100-dimensions)_superquadratic_(objectified)_(skewed-0.50)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,100,superquadratic,0.99,0.0,0.0,ADAM-100/ADAM_(100-dimensions)_superquadratic_(objectified)_(skewed-0.99)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,1000,multimin,0.0,0.0,0.0,ADAM-1000/ADAM_(1000-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.00).csv.gz
ADAM,1000,multimin,0.0,0.0,0.5,ADAM-1000/ADAM_(1000-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-0.50).csv.gz
ADAM,1000,multimin,0.0,0.0,1.0,ADAM-1000/ADAM_(1000-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.00)_(noised-1.00).csv.gz
ADAM,1000,multimin,0.0,0.5,0.0,ADAM-1000/ADAM_(1000-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-0.50)_(noised-0.00).csv.gz
ADAM,1000,multimin,0.0,1.0,0.0,ADAM-1000/ADAM_(1000-dimensions)_multimin_(objectified)_(skewed-0.00)_(rotated-1.00)_(noised-0.00).csv.gz
