throughput
579061.88
584395.0
589589.38
593905.31
594377.88
594460.12
599814.88
600564.5
600785.0
601405.44
603862.88
604239.88
606030.31
610726.88
611069.0
612463.19
613195.5
613540.44
618382.38
618967.25
620185.0
620515.38
621143.56
622634.94
622962.31
623250.5
623533.25
624672.5
625844.44
626323.62
626609.12
627118.06
627667.94
628293.5
629162.06
629456.0
631683.62
633267.0
634301.62
635186.88
637088.94
637508.56
637834.06
640270.56
641400.06
642689.75
643164.94
643363.69
643767.5
644202.0
644764.12
645115.19
646486.75
647558.94
647949.69
648255.31
648689.81
648763.31
650002.88
650809.31
652180.5
653110.25
653240.62
653607.19
654578.38
659978.56
660352.75
661688.0
661796.31
663829.25
664400.5
664451.88
664992.0
665417.0
666049.0
666423.62
668355.12
669005.81
669416.38
669579.44
670016.88
670539.88
670919.56
671168.56
671831.31
671857.56
674521.81
677694.81
677975.62
678009.06
679040.81
681755.69
682127.88
682493.69
682575.06
682778.5
682900.62
683070.38
684696.94
685058.75
686125.75
687512.38
687649.94
688545.69
691977.69
692298.38
692354.19
692479.75
692793.88
694944.75
695507.44
697781.5
698441.06
698561.75
699037.81
699066.25
699571.56
701428.12
701435.25
702453.44
704325.31
704325.31
707457.75
708347.38
708471.56
709290.56
709510.25
710463.88
711574.69
714831.56
722201.25
727207.12
729051.0
729345.06
730546.88
731592.27
731853.94
733423.94
736955.44
741560.0
744153.75
744928.12
745447.14
748677.62
750697.75
752877.25
753951.06
754228.97
755858.44
758762.75
759290.94
760181.91
760240.12
760879.88
763310.44
767146.58
769528.06
770696.05
771799.0
771822.36
772199.8
772538.62
772801.11
773007.88
773974.89
775686.62
776264.94
778221.31
778269.38
781828.88
783080.61
783378.34
784455.05
785568.19
785831.23
787725.88
788138.98
788777.84
790481.78
791073.53
791796.0
793271.11
794074.19
794765.22
795042.62
795071.62
795929.38
798091.06
798111.27
800505.86
801684.94
801934.86
802435.14
802780.69
804397.0
805293.22
805390.41
805745.69
807483.56
809158.48
809963.28
811329.81
811460.86
812020.06
812096.88
813465.89
814179.45
814356.44
814717.23
816060.5
816999.5
818129.88
818500.19
818642.42
819273.12
820694.75
821620.33
822283.31
822987.89
826006.81
828017.31
828744.98
830714.72
831017.34
831189.78
831753.58
832525.08
832765.45
