Data,Tolerance,Train_Size,Test_Size,Fold_Num,Model_Name,Fit_Time,Eval_Time,Min_Error,Max_Error,Median_Error,Average_Error
Parkinsons,0.2,374,94,4,Voronoi Mesh,5.976188898086548,0.009177207946777344,0.201824018848,7.19601553096,2.51244008674,2.69249039197
Parkinsons,0.2,374,94,5,Max Box Mesh,2.8710551261901855,0.00308990478515625,-0.896276984928,3.09917488672,-0.38135458949,-0.205636730987
Parkinsons,0.2,374,94,5,Iterative Box Mesh,3.19293212890625,0.00335693359375,-16.2281161149,5.95521441822,-0.00374271917679,-0.175840736454
Parkinsons,0.2,374,94,5,Voronoi Mesh,6.28781795501709,0.009248018264770508,0.177760175821,6.90436754771,2.38264208667,2.64820813635
Parkinsons,0.2,374,94,6,Max Box Mesh,2.8227038383483887,0.003103971481323242,-0.92005256595,60.153126178,-0.366588398171,0.600049972414
Parkinsons,0.2,374,94,6,Iterative Box Mesh,3.174360990524292,0.003373861312866211,-605571.444263,84094.6963677,-115.559001025,-8069.03505466
Parkinsons,0.2,374,94,6,Voronoi Mesh,6.222214937210083,0.00931692123413086,0.128993193741,7.54527513212,2.68919546848,2.67483945065
Parkinsons,0.2,374,94,7,Max Box Mesh,2.895750045776367,0.0031571388244628906,-0.974268705868,40.0651423735,-0.238906630539,0.548674354585
Parkinsons,0.2,374,94,7,Iterative Box Mesh,3.111297845840454,0.003381013870239258,-8453.36789119,19774.1401426,0.923154757241,197.959277131
Parkinsons,0.2,374,94,7,Voronoi Mesh,5.7392027378082275,0.00801396369934082,-0.0165975713133,8.07188061282,2.03374146261,2.4188679152
Parkinsons,0.2,374,94,8,Max Box Mesh,2.7749388217926025,0.0031061172485351562,-0.955303725571,4.98790742491,-0.356398231228,-0.228208225495
Parkinsons,0.2,374,94,8,Iterative Box Mesh,3.129692792892456,0.0032739639282226562,-52.6871286935,27.8128166029,-0.100513723839,-1.57389968314
Parkinsons,0.2,374,94,8,Voronoi Mesh,6.202816009521484,0.009363889694213867,0.20293830113,7.76881411319,2.36104821952,2.79699557836
Parkinsons,0.2,374,94,9,Max Box Mesh,2.7217819690704346,0.0030698776245117188,-0.986075534719,2.97077995551,-0.342943081663,-0.186588952386
Parkinsons,0.2,374,94,9,Iterative Box Mesh,3.1087839603424072,0.003393888473510742,-540.670137407,1736.10376731,0.138848085573,11.0294538221
Parkinsons,0.2,374,94,9,Voronoi Mesh,6.122732162475586,0.008965253829956055,-0.119361068996,8.01655575665,2.34607710152,2.55771733913
Parkinsons,0.4,374,94,0,Max Box Mesh,3.060335159301758,0.0032668113708496094,-0.983927066204,12.9524335812,-0.311327996824,0.105571416174
Parkinsons,0.4,374,94,0,Iterative Box Mesh,3.126030921936035,0.003348827362060547,-6842.63427011,6197.66407568,0.91949049584,-122.168377664
Parkinsons,0.4,374,94,0,Voronoi Mesh,6.107162714004517,0.00839996337890625,-0.0260011069096,8.60335708609,2.07045513654,2.43398802224
Parkinsons,0.4,374,94,1,Max Box Mesh,3.0010180473327637,0.003284931182861328,-0.985188679261,14.7197290196,-0.369128797445,0.0641027472185
Parkinsons,0.4,374,94,1,Iterative Box Mesh,3.0952301025390625,0.003365039825439453,-76.827587353,149.620950581,-0.367712992333,1.46874782634
Parkinsons,0.4,374,94,1,Voronoi Mesh,5.75088095664978,0.008820056915283203,0.0548131256109,8.22176851471,2.51777651066,2.76343163384
Parkinsons,0.4,374,94,2,Max Box Mesh,2.6383440494537354,0.002933025360107422,-0.924223033197,5.3235649313,-0.300049486226,-0.0857590372092
