File_Size,Record_Size,Threads,Frequency,Mean_Throughput
256,32,1,1400000,8.2540843e+05
256,32,1,1500000,7.4874807e+05
256,32,1,1600000,1.0116772e+06
256,32,1,1800000,1.2129727e+06
256,32,1,1900000,1.1905759e+06
256,32,1,2000000,6.8360417e+05
256,32,1,2100000,1.2081030e+06
256,32,1,2300000,1.0576806e+06
256,32,1,2400000,1.1904559e+06
256,32,1,2500000,1.1850607e+06
256,32,1,2700000,1.2877777e+06
256,32,1,2800000,1.2261802e+06
256,32,1,2900000,1.0261311e+06
256,32,1,3000000,1.3496819e+06
256,32,1,3001000,1.2479422e+06
256,32,2,1200000,2.2728095e+06
256,32,2,1400000,1.7980819e+06
256,32,2,1500000,2.2605457e+06
256,32,2,1600000,1.9069449e+06
256,32,2,1800000,2.4120553e+06
256,32,2,1900000,2.4607387e+06
256,32,2,2000000,2.4202966e+06
256,32,2,2100000,2.7081083e+06
256,32,2,2300000,3.5597548e+06
256,32,2,2400000,2.2883447e+06
256,32,2,2500000,2.9146874e+06
256,32,2,2700000,2.5306361e+06
256,32,2,2800000,2.9299298e+06
256,32,2,2900000,2.7013712e+06
256,32,2,3000000,2.2085683e+06
256,32,2,3001000,3.6028803e+06
256,32,4,1200000,3.7628748e+06
256,32,4,1400000,4.7278338e+06
256,32,4,1500000,4.4826822e+06
256,32,4,1600000,4.7373404e+06
256,32,4,1800000,4.2376711e+06
256,32,4,1900000,4.6981485e+06
256,32,4,2000000,4.5157170e+06
256,32,4,2100000,4.5518975e+06
256,32,4,2300000,4.5906281e+06
256,32,4,2400000,4.7185580e+06
256,32,4,2500000,5.1835154e+06
256,32,4,2700000,5.5149364e+06
256,32,4,2800000,4.5407388e+06
256,32,4,2900000,4.3889238e+06
256,32,4,3000000,4.8851006e+06
256,32,4,3001000,6.0496519e+06
256,32,8,1200000,7.7522153e+06
256,32,8,1400000,7.7330318e+06
256,32,8,1500000,8.0375021e+06
256,32,8,1600000,8.8986735e+06
256,32,8,1800000,9.5479389e+06
256,32,8,1900000,8.5639099e+06
256,32,8,2000000,8.8704370e+06
256,32,8,2100000,8.7017092e+06
256,32,8,2300000,1.1107369e+07
256,32,8,2400000,1.1988307e+07
256,32,8,2500000,9.4154445e+06
256,32,8,2700000,9.0367935e+06
256,32,8,2800000,1.1695978e+07
256,32,8,2900000,9.8323536e+06
256,32,8,3000000,1.0763106e+07
256,32,8,3001000,1.0853887e+07
256,32,16,1200000,1.4689058e+07
256,32,16,1400000,1.5907125e+07
256,32,16,1500000,1.7103631e+07
256,32,16,1600000,1.6406817e+07
256,32,16,1800000,1.6014753e+07
256,32,16,1900000,2.0494638e+07
256,32,16,2000000,1.7554060e+07
256,32,16,2100000,1.6594083e+07
256,32,16,2300000,1.9348495e+07
256,32,16,2400000,2.1319091e+07
256,32,16,2500000,1.7359052e+07
256,32,16,2700000,2.0035962e+07
256,32,16,2800000,2.3533846e+07
256,32,16,2900000,2.1540801e+07
256,32,16,3000000,2.0689237e+07
256,32,16,3001000,2.1662061e+07
256,32,32,1200000,2.9605522e+07
256,32,32,1400000,2.9775039e+07
256,32,32,1500000,3.2422288e+07
256,32,32,1600000,3.6341435e+07
256,32,32,1800000,3.2736579e+07
256,32,32,1900000,3.2065730e+07
256,32,32,2000000,3.5707048e+07
256,32,32,2100000,3.8080880e+07
256,32,32,2300000,3.4010833e+07
256,32,32,2400000,3.4356999e+07
256,32,32,2500000,4.3027832e+07
256,32,32,2700000,3.9299567e+07
256,32,32,2800000,3.2449017e+07
256,32,32,2900000,3.9136974e+07
256,32,32,3000000,4.1842779e+07
256,32,32,3001000,4.5351047e+07
256,32,64,1200000,6.3424771e+07
256,32,64,1400000,5.8545568e+07
256,32,64,1500000,6.8879962e+07
256,32,64,1600000,7.0320130e+07
256,32,64,1800000,7.3335461e+07
256,32,64,1900000,7.7683643e+07
256,32,64,2000000,8.4942206e+07
256,32,64,2100000,9.3368386e+07
256,32,64,2300000,8.8504812e+07
256,32,64,2400000,1.0281135e+08
256,32,64,2500000,1.0385774e+08
256,32,64,2700000,9.3041532e+07
256,32,64,2800000,9.4511649e+07
256,32,64,2900000,9.7114814e+07
256,32,64,3000000,8.6254763e+07
256,32,64,3001000,8.7544380e+07
256,32,128,1200000,1.3003699e+08
256,32,128,1400000,1.3944483e+08
256,32,128,1500000,1.1882091e+08
256,32,128,1600000,1.3972061e+08
256,32,128,1800000,1.6057076e+08
256,32,128,1900000,1.5623320e+08
256,32,128,2000000,1.6825092e+08
256,32,128,2100000,1.6278156e+08
256,32,128,2300000,2.0604206e+08
256,32,128,2400000,1.9036066e+08
256,32,128,2500000,2.0440872e+08
256,32,128,2700000,1.9813096e+08
256,32,128,2800000,2.2694508e+08
256,32,128,2900000,2.1668461e+08
256,32,128,3000000,2.1343035e+08
256,32,128,3001000,2.5297891e+08
256,32,256,1200000,2.5827341e+08
256,32,256,1400000,2.5343215e+08
256,32,256,1500000,2.9230053e+08
256,32,256,1600000,2.8279863e+08
256,32,256,1800000,3.1360462e+08
256,32,256,1900000,3.1943978e+08
256,32,256,2000000,3.8176359e+08
256,32,256,2100000,3.0082910e+08
256,32,256,2300000,3.4751695e+08
256,32,256,2400000,4.4124485e+08
256,32,256,2500000,3.1931957e+08
256,32,256,2700000,4.2946497e+08
256,32,256,2800000,3.9426331e+08
256,32,256,2900000,4.4988614e+08
256,32,256,3000000,4.2129157e+08
256,32,256,3001000,5.1849395e+08
256,128,1,1200000,5.9385535e+05
256,128,1,1400000,6.6809531e+05
256,128,1,1500000,8.4264293e+05
256,128,1,1600000,6.9295779e+05
256,128,1,1800000,7.2723348e+05
256,128,1,1900000,7.3045252e+05
256,128,1,2000000,1.0155034e+06
256,128,1,2100000,7.7484178e+05
256,128,1,2300000,8.7743238e+05
256,128,1,2400000,7.4391679e+05
256,128,1,2500000,9.6329680e+05
256,128,1,2700000,8.3167153e+05
256,128,1,2800000,9.0455978e+05
256,128,1,2900000,7.7769125e+05
256,128,1,3000000,8.7594902e+05
256,128,1,3001000,8.2594681e+05
256,128,2,1200000,1.4712317e+06
256,128,2,1400000,1.4276869e+06
256,128,2,1500000,1.6966121e+06
256,128,2,1600000,1.7642143e+06
256,128,2,1800000,1.8948830e+06
256,128,2,1900000,1.7883012e+06
256,128,2,2000000,1.8280061e+06
256,128,2,2100000,2.1379208e+06
256,128,2,2300000,1.7402617e+06
256,128,2,2400000,2.1013705e+06
256,128,2,2500000,2.0596382e+06
256,128,2,2700000,1.7661877e+06
256,128,2,2800000,2.0731704e+06
256,128,2,2900000,1.9587661e+06
256,128,2,3000000,2.0736150e+06
256,128,2,3001000,2.2546027e+06
256,128,4,1200000,3.4907630e+06
256,128,4,1400000,3.5840675e+06
256,128,4,1500000,3.4082700e+06
256,128,4,1600000,3.5947560e+06
256,128,4,1800000,3.7581485e+06
256,128,4,1900000,3.3852294e+06
256,128,4,2000000,4.0284419e+06
256,128,4,2100000,3.8578160e+06
256,128,4,2300000,3.9613840e+06
256,128,4,2400000,4.4641621e+06
256,128,4,2500000,4.5178961e+06
256,128,4,2700000,4.5795738e+06
256,128,4,2800000,4.6913821e+06
256,128,4,2900000,4.2607565e+06
256,128,4,3000000,4.9332113e+06
256,128,4,3001000,4.5870114e+06
256,128,8,1200000,7.1264325e+06
256,128,8,1400000,7.2046752e+06
256,128,8,1500000,7.7990833e+06
256,128,8,1600000,7.1703588e+06
256,128,8,1800000,6.6062564e+06
256,128,8,1900000,8.0418116e+06
256,128,8,2000000,7.7793118e+06
256,128,8,2100000,8.3934995e+06
256,128,8,2300000,8.8018269e+06
256,128,8,2400000,1.0381314e+07
256,128,8,2500000,9.8998925e+06
256,128,8,2700000,9.6737289e+06
256,128,8,2800000,1.0321688e+07
256,128,8,2900000,9.3200759e+06
256,128,8,3000000,8.7414261e+06
256,128,8,3001000,8.7070851e+06
256,128,16,1200000,1.4237843e+07
256,128,16,1400000,1.4419981e+07
256,128,16,1500000,1.5462518e+07
256,128,16,1600000,1.5524055e+07
256,128,16,1800000,1.3138160e+07
256,128,16,1900000,1.6278557e+07
256,128,16,2000000,1.7612585e+07
256,128,16,2100000,1.4246533e+07
256,128,16,2300000,1.5939741e+07
256,128,16,2400000,1.7651371e+07
256,128,16,2500000,1.7704639e+07
256,128,16,2700000,2.0428416e+07
256,128,16,2800000,2.1268928e+07
256,128,16,2900000,1.9582637e+07
256,128,16,3000000,1.7948225e+07
256,128,16,3001000,1.7576788e+07
256,128,32,1200000,2.7390110e+07
256,128,32,1400000,3.3532481e+07
256,128,32,1500000,3.7476773e+07
256,128,32,1600000,3.7583446e+07
256,128,32,1800000,3.1632245e+07
256,128,32,1900000,3.7883418e+07
256,128,32,2000000,3.5526179e+07
256,128,32,2100000,3.6658880e+07
256,128,32,2300000,4.3008041e+07
256,128,32,2400000,3.6755341e+07
256,128,32,2500000,4.1319929e+07
256,128,32,2700000,3.8140363e+07
256,128,32,2800000,3.6701687e+07
256,128,32,2900000,4.4087951e+07
256,128,32,3000000,3.8478419e+07
256,128,32,3001000,4.0702059e+07
256,128,64,1200000,5.5717191e+07
256,128,64,1400000,6.0419332e+07
256,128,64,1500000,6.2178167e+07
256,128,64,1600000,6.9628460e+07
256,128,64,1800000,7.2145443e+07
256,128,64,1900000,8.0280875e+07
256,128,64,2000000,8.3638607e+07
256,128,64,2100000,7.6066893e+07
256,128,64,2300000,9.6949801e+07
256,128,64,2400000,9.2218952e+07
256,128,64,2500000,9.7552278e+07
256,128,64,2700000,1.0489581e+08
256,128,64,2800000,7.9771698e+07
256,128,64,2900000,1.0061988e+08
256,128,64,3000000,9.6169840e+07
256,128,64,3001000,8.6566976e+07
256,128,128,1200000,1.1688129e+08
256,128,128,1400000,1.3665610e+08
256,128,128,1500000,1.4808674e+08
256,128,128,1600000,1.5255007e+08
256,128,128,1800000,1.5095644e+08
256,128,128,1900000,1.5639804e+08
256,128,128,2000000,1.7854255e+08
256,128,128,2100000,1.8289075e+08
256,128,128,2300000,1.7741060e+08
256,128,128,2400000,2.0477317e+08
256,128,128,2500000,1.9444828e+08
256,128,128,2700000,2.2203038e+08
256,128,128,2800000,2.1577687e+08
256,128,128,2900000,2.0605099e+08
256,128,128,3000000,2.2703256e+08
256,128,128,3001000,2.8416613e+08
256,128,256,1200000,2.0001626e+08
256,128,256,1400000,2.3257913e+08
256,128,256,1500000,2.5855094e+08
256,128,256,1600000,2.9165171e+08
256,128,256,1800000,2.9181214e+08
256,128,256,1900000,3.4128646e+08
256,128,256,2000000,3.4323453e+08
256,128,256,2100000,3.5065421e+08
256,128,256,2300000,3.5751119e+08
256,128,256,2400000,3.8469841e+08
256,128,256,2500000,3.5588793e+08
256,128,256,2700000,4.4572737e+08
256,128,256,2800000,4.2608311e+08
256,128,256,2900000,4.4150341e+08
256,128,256,3000000,4.8626356e+08
256,128,256,3001000,5.2907706e+08
1024,32,1,1200000,1.5775850e+06
1024,32,1,1400000,1.5232877e+06
1024,32,1,1500000,1.2603105e+06
1024,32,1,1600000,1.6378202e+06
1024,32,1,1800000,1.5288662e+06
1024,32,1,1900000,2.0268567e+06
1024,32,1,2000000,1.7879611e+06
1024,32,1,2100000,1.6246541e+06
1024,32,1,2300000,1.5807884e+06
1024,32,1,2400000,2.0129204e+06
1024,32,1,2500000,1.7069770e+06
1024,32,1,2700000,1.8283818e+06
1024,32,1,2800000,1.8904574e+06
1024,32,1,2900000,1.6849815e+06
1024,32,1,3000000,1.8754887e+06
1024,32,1,3001000,2.1234905e+06
1024,32,2,1200000,2.6857327e+06
1024,32,2,1400000,3.2021218e+06
1024,32,2,1500000,3.3468299e+06
1024,32,2,1600000,3.3168774e+06
1024,32,2,1800000,3.3863348e+06
1024,32,2,1900000,3.3364530e+06
1024,32,2,2000000,3.2902101e+06
1024,32,2,2100000,3.8866501e+06
1024,32,2,2300000,3.8740531e+06
1024,32,2,2400000,3.6328828e+06
1024,32,2,2500000,3.2366312e+06
1024,32,2,2700000,4.1952866e+06
1024,32,2,2800000,4.1755519e+06
1024,32,2,2900000,4.1400735e+06
1024,32,2,3000000,4.1682653e+06
1024,32,2,3001000,4.5394825e+06
1024,32,4,1200000,5.5467721e+06
1024,32,4,1400000,4.9255642e+06
1024,32,4,1500000,5.3419612e+06
1024,32,4,1600000,6.2457954e+06
1024,32,4,1800000,6.5855535e+06
1024,32,4,1900000,5.7850171e+06
1024,32,4,2000000,6.3888641e+06
1024,32,4,2100000,6.4049029e+06
1024,32,4,2300000,6.8628023e+06
1024,32,4,2400000,6.3510131e+06
1024,32,4,2500000,6.3271939e+06
