algorithm,step,0 percentile,10 percentile,25 percentile,50 percentile,75 percentile,90 percentile,100 percentile
ADAGRAD,0,0.28067877559245,0.324445803007626,0.34693128620402963,0.3750938887272021,0.40134599266509513,0.4219736455279685,0.46814293475158375
ADAGRAD,1,0.27486329498935597,0.3181923498096026,0.3398922709031876,0.3678960703786845,0.39391046649121136,0.4140669744693429,0.45938471686838106
ADAGRAD,2,0.2709563095293679,0.31390824554453306,0.33526876063638095,0.36316552811569036,0.388919882540143,0.40902060170419297,0.4535627011660596
ADAGRAD,3,0.26781770447534753,0.31058275402865787,0.33171169709743753,0.3593756605472559,0.38496733208121126,0.40491713269294666,0.44884136273596426
ADAGRAD,4,0.2652359138359869,0.3076848782791786,0.3287205171217201,0.35621914672675,0.3816343234472322,0.40141234824992283,0.44497836805226204
ADAGRAD,5,0.2629923680687643,0.3051194286526351,0.32610647836175893,0.353403548767756,0.37871928474041044,0.3984831414476799,0.44177412553339285
ADAGRAD,6,0.26095581876966073,0.30283935103727316,0.323740618205116,0.350901634765125,0.3761625213258273,0.3957701920929906,0.43894571052460724
ADAGRAD,7,0.25912394037323216,0.3007274817735094,0.3215723430966547,0.3486271627986548,0.3738062526197947,0.3933319168260215,0.4362819563479882
ADAGRAD,8,0.2574176058763714,0.2988048858947067,0.3196158666155179,0.34655527457599994,0.3716104198644435,0.39107995919546085,0.4338448771820357
ADAGRAD,9,0.2558219494768596,0.2969591083323011,0.31773582767309677,0.3445551588982024,0.369542108655875,0.3889174699994403,0.4315624751715714
ADAGRAD,10,0.25433965076233694,0.2952650473166125,0.31597399292320644,0.3427472668610952,0.36757885819464586,0.38689413539637263,0.4293963663471072
ADAGRAD,11,0.25294951160610835,0.29366260828413904,0.3143375075961596,0.34103985952439286,0.36572635301530665,0.3849645545276523,0.4273548569652978
ADAGRAD,12,0.2516296771190011,0.29217860946340823,0.312746035572813,0.33938847567436903,0.3639914936147619,0.3831923144643309,0.42544915903183333
ADAGRAD,13,0.2503488603556525,0.29072752473177493,0.3112750119954502,0.33780306131535714,0.36233864316886005,0.38148885100621077,0.42362883744288105
ADAGRAD,14,0.2491045400154452,0.28934888039745876,0.30988604763133704,0.3362768984033215,0.36077086276530046,0.3798210098056214,0.42191990755445247
ADAGRAD,15,0.24793364359160358,0.28795669393836276,0.3085058872913279,0.334808800600137,0.35925814985834814,0.37823350051642257,0.4202432175137381
ADAGRAD,16,0.2467854745987666,0.2866854044394674,0.3071650853911884,0.3334347562752799,0.35783170668210407,0.3766858505967927,0.41864584750351164
ADAGRAD,17,0.24571052988998454,0.2854545546248562,0.3058880668372711,0.3321012717983513,0.35643212883489295,0.3752036509159144,0.4170850481685594
ADAGRAD,18,0.24465781173755002,0.2842834628331255,0.3046444450872164,0.3308279786600357,0.35504313997479475,0.3737812975171262,0.4155745066793929
ADAGRAD,19,0.24365208538268335,0.28317025344337726,0.30346250437826994,0.3295794593967202,0.3537285528305506,0.3724143063306882,0.4140835335695118
ADAGRAD,20,0.24267225979677143,0.2820666034406158,0.3023027385958952,0.328341969101262,0.35248479705369345,0.3710741048208118,0.4126587727711784
ADAGRAD,21,0.2417345576812869,0.2809852020763794,0.30119939002229235,0.3271749145850179,0.35127089307393156,0.36979790209178104,0.41128251352383327
ADAGRAD,22,0.24082718194373337,0.2799522598452371,0.3001329955378961,0.3260286050168452,0.3500663922514345,0.3685599461284965,0.40994588465892867
ADAGRAD,23,0.23990327628353453,0.27894597512077285,0.299088595103435,0.3249362105634703,0.34889355506600894,0.3673627080419428,0.4086318940961548
ADAGRAD,24,0.2390462365177155,0.2779497396785031,0.29806052465815025,0.3238611313781369,0.3477517316920566,0.3661896899694358,0.40738828735404764
ADAGRAD,25,0.23821694573954164,0.27698152365089607,0.2970657911564934,0.3227904172699167,0.34661748894763106,0.36507094237725357,0.40614639696617855
ADAGRAD,26,0.23739182267059164,0.2760437702389999,0.2961093203718783,0.3217544098634763,0.3455521898345684,0.363988636057256,0.40492730232622615
ADAGRAD,27,0.236578806752906,0.2751230463335948,0.29514904439929285,0.3207427995776011,0.34451483554512813,0.3629159214796273,0.40374619031144043
