function,algorithm,step,0 percentile,10 percentile,25 percentile,50 percentile,75 percentile,90 percentile,100 percentile
multimin,ADAGRAD,0,0.3078456232064761,0.35794967212740475,0.38166814915014297,0.407298440456024,0.43077864146033334,0.4424377049098859,0.4873954231867144
multimin,ADAGRAD,1,0.3001013549431429,0.3499401438732666,0.37137488687666675,0.397464999221762,0.42082928394622615,0.4321847359233571,0.47391023642528574
multimin,ADAGRAD,2,0.29524868791642855,0.3445684238876619,0.3648966644227263,0.3916397737277381,0.41461637280170244,0.42647517677937624,0.4656797458020477
multimin,ADAGRAD,3,0.2913107553113333,0.3403357423773714,0.3601614372485357,0.3871794270677381,0.40982498976960713,0.42189960578225233,0.4591075465107143
multimin,ADAGRAD,4,0.2880743576233809,0.3367067208798333,0.35632074146504766,0.38331095981930957,0.4057217813827023,0.4180291247459714,0.4538584458303334
multimin,ADAGRAD,5,0.2852517943792381,0.3335300167752667,0.3529712578590834,0.37989398324733326,0.4021703453339286,0.41483444236092853,0.44997058485314284
multimin,ADAGRAD,6,0.282790482969,0.33075262307502856,0.3500826021876905,0.3768320903319762,0.39917181537047625,0.4119958279958715,0.4466104975797619
multimin,ADAGRAD,7,0.2804940149272857,0.32801637599733335,0.34748251242655953,0.3740237710486428,0.39629286226194055,0.40933808636161906,0.4434853873579524
multimin,ADAGRAD,8,0.27838611451190476,0.3255494216748762,0.3450701551086309,0.3714611599986429,0.39377338732971434,0.40690167167685243,0.4407032328402381
multimin,ADAGRAD,9,0.27636465080600003,0.32305098486187617,0.3427496183851191,0.36899018839640474,0.3913726413251905,0.4045664683094572,0.4380911058998571
multimin,ADAGRAD,10,0.27449747271119046,0.32082245537577625,0.34063853251285714,0.36677944776945237,0.3890112151945595,0.40231746740406665,0.4356479797527144
multimin,ADAGRAD,11,0.2727865258547142,0.3188728545451762,0.33867397553139283,0.36473257208283333,0.3868292797236786,0.40014773564819517,0.43338981225852374
multimin,ADAGRAD,12,0.2711258527203809,0.3170841440700761,0.3368326129110953,0.36271869226616665,0.38486343618383323,0.39811802668901436,0.43125251320457136
multimin,ADAGRAD,13,0.2695688212371429,0.3153888228815429,0.335038887481,0.360812700979119,0.38308829698484526,0.3961476000181238,0.4291853238361905
multimin,ADAGRAD,14,0.2680822018085238,0.3136982981776714,0.33333399918339285,0.3589522891231428,0.38126505575953573,0.3943442201692381,0.42728189792576204
