rotation,algorithm,step,0 percentile,10 percentile,25 percentile,50 percentile,75 percentile,90 percentile,100 percentile
0.0,ADAGRAD,0,0.28067877559303334,0.32444580300809833,0.3469312862055625,0.3750938887287916,0.4013459926652083,0.42197364552899996,0.46814293475299995
0.0,ADAGRAD,1,0.271634761722,0.3146899336221825,0.3362541331813749,0.36390053684704166,0.39003142287287496,0.4098871341202334,0.4547269162804166
0.0,ADAGRAD,2,0.2655570370455584,0.30807221734666335,0.328919796474375,0.35659086325145833,0.38225580048481245,0.40185685290451656,0.4457450757135834
0.0,ADAGRAD,3,0.26074649664068333,0.3025595467699326,0.32330271449366665,0.35076834046125,0.37617701268560416,0.39558380298605833,0.43866190365575
0.0,ADAGRAD,4,0.25667036345792504,0.297892019137355,0.3184787920838333,0.3458398804764167,0.37101627985885416,0.39029629497284996,0.43280859991266657
0.0,ADAGRAD,5,0.253091007452325,0.2938272305470134,0.31427451574618753,0.3414547489769583,0.3664859030276459,0.38560511360815,0.42783615385383333
0.0,ADAGRAD,6,0.24987371232906672,0.2901873720951558,0.3105611542932292,0.3374227572602084,0.3624351286296667,0.38131872903415,0.4233352120316667
0.0,ADAGRAD,7,0.24693571431132502,0.28685573811254744,0.3071910461022708,0.33375687110970836,0.3587223660623125,0.37742902194675837,0.4191987213868333
0.0,ADAGRAD,8,0.24422113484715,0.28377819203337745,0.3041037265004792,0.3304550706315,0.3552713842132917,0.3738648872224084,0.4153540393505833
0.0,ADAGRAD,9,0.24168524691616666,0.28078995950222335,0.3012776624229375,0.3273148924275417,0.3520523175002291,0.37051946257970836,0.4117501131839166
0.0,ADAGRAD,10,0.239303766943575,0.2779966192989117,0.2985451695291876,0.32439669353454165,0.3490047096706042,0.3673709208764417,0.4083524354946666
0.0,ADAGRAD,11,0.23705642290376663,0.2754283392417041,0.2959642587839375,0.3216450833807501,0.3461262037331459,0.3643977092395167,0.4051315941563333
0.0,ADAGRAD,12,0.2349260197133,0.27309217275152997,0.29352045950700006,0.3190277005824584,0.343450230140125,0.36157829121055846,0.40208210457149995
0.0,ADAGRAD,13,0.2328969646899333,0.2708823416814125,0.2911769165849167,0.31652729683450004,0.34089420095304157,0.35885939217860835,0.399182706869
0.0,ADAGRAD,14,0.23095781190185002,0.268773299082845,0.2889262063619291,0.31415827204575003,0.33838669610425004,0.3561816928904334,0.3963982485937499
0.0,ADAGRAD,15,0.22909921855645834,0.266691422119675,0.2867185819098229,0.31188927071595834,0.33596389898889584,0.35361003814170006,0.39371698573950004
0.0,ADAGRAD,16,0.22731330489491672,0.2646993473842342,0.28455896635113537,0.30973242963883335,0.33362544213058337,0.35112357439355835,0.3911291060053334
0.0,ADAGRAD,17,0.22559342397383333,0.26281625141878423,0.2824557412029334,0.307649072966625,0.33137455322435416,0.34872630789577497,0.38862628278716665
0.0,ADAGRAD,18,0.22393387112088337,0.2609672454985342,0.28043701975051666,0.30563413098212505,0.32921242256718747,0.34641051581560006,0.38620139980775
0.0,ADAGRAD,19,0.2223297428268,0.25917972562336417,0.2784754263032041,0.3036236854679167,0.32712967748425004,0.34423821621240003,0.38384832321483336
0.0,ADAGRAD,20,0.22077672734794998,0.25745206378874497,0.2765763759940146,0.3016405794444167,0.32512271776350005,0.3421654162933083,0.3815617106748334
0.0,ADAGRAD,21,0.21927098042419166,0.2557729684441167,0.2747405874483188,0.299748262213125,0.3231645291252084,0.34015774682158334,0.37933689117208336
0.0,ADAGRAD,22,0.21780920110955004,0.2541444045482833,0.27298688290003126,0.2979435381958333,0.32125090746375,0.3382355741651,0.3771696660140833
0.0,ADAGRAD,23,0.21638835678690005,0.2525710382555858,0.27130972787647495,0.29620489884533335,0.31939617667254167,0.3363497255408834,0.3750563457049167
0.0,ADAGRAD,24,0.21500582026893333,0.25106288091399337,0.26970597368535,0.2945241321003333,0.3176012803792084,0.334504478108675,0.3730074055191667
0.0,ADAGRAD,25,0.21365924089657498,0.24959509578158748,0.26815830891809794,0.29288140522983336,0.31585666121354167,0.33270304914517496,0.37101421943049995
0.0,ADAGRAD,26,0.21234652347963334,0.24816493500331838,0.2666405863356145,0.29128817330191664,0.31416284257818755,0.3309825734939667,0.36906544620025006
0.0,ADAGRAD,27,0.211065329230375,0.24677060511185664,0.2651472873638292,0.2897262905475,0.3125129440653333,0.3292964855909667,0.3671589191145
0.0,ADAGRAD,28,0.2098113794756333,0.2454098326011316,0.26365248307965206,0.2882029380659584,0.3109048396020416,0.32757703403663335,0.3652919577985833
0.0,ADAGRAD,29,0.20858590286061665,0.24408072917202417,0.26221115199435213,0.28671501945658334,0.3093423205281041,0.32599779700841675,0.36346255247666676
0.0,ADAGRAD,30,0.20738741445751666,0.24277562075115497,0.2607854647942271,0.2852627808569167,0.3078132205043542,0.3244546748597916,0.36166894097916663
